cc_name,uc_name,cc_lat,cc_lon,uc_lat,uc_lon,distance_meters,duration_seconds,status
College of the Siskiyous,University of California-San Diego,41.413005,-122.38909,32.877749,-117.235866,1168827,40762,OK
College of the Siskiyous,University of California-San Francisco,41.413005,-122.38909,37.763737,-122.458489,461459,16695,OK
College of the Siskiyous,University of California-Santa Barbara,41.413005,-122.38909,34.416297,-119.846426,955990,33495,OK
College of the Siskiyous,University of California-Santa Cruz,41.413005,-122.38909,36.995584,-122.058801,557045,20096,OK
Columbia College,University of California-Berkeley,38.030367,-120.388385,37.871918,-122.260463,204758,8824,OK
Columbia College,University of California-Davis,38.030367,-120.388385,38.539667,-121.749567,170884,7556,OK
Columbia College,University of California-Irvine,38.030367,-120.388385,33.648434,-117.841248,607978,22658,OK
Columbia College,University of California-Los Angeles,38.030367,-120.388385,34.066927,-118.168965,542086,20424,OK
Columbia College,University of California-Merced,38.030367,-120.388385,37.366237,-120.424944,94459,4439,OK
Columbia College,University of California-Riverside,38.030367,-120.388385,33.97246,-117.32741,623584,23438,OK
Columbia College,University of California-San Diego,38.030367,-120.388385,32.877749,-117.235866,755681,27770,OK
Columbia College,University of California-San Francisco,38.030367,-120.388385,37.763737,-122.458489,222349,9436,OK
Columbia College,University of California-Santa Barbara,38.030367,-120.388385,34.416297,-119.846426,564135,21922,OK
Columbia College,University of California-Santa Cruz,38.030367,-120.388385,36.995584,-122.058801,254022,10829,OK
Compton College,University of California-Berkeley,33.878226,-118.209463,37.871918,-122.260463,631174,22848,OK
